input_url,initial_status,redirect_chain,final_url,final_status,canonical,canonical_ok,hreflang_values,hreflang_ok,robots_meta,noindex_ok,errors
"http://localhost:3000/fr","200","none","http://localhost:3000/fr","200","http://localhost:3000/fr","PASS","fr-CA:/fr | en-CA:/en","PASS","index, follow","PASS",""
"http://localhost:3000/en","200","none","http://localhost:3000/en","200","http://localhost:3000/en","PASS","en-CA:/en | fr-CA:/fr","PASS","index, follow","PASS",""
"http://localhost:3000/fr/services","200","none","http://localhost:3000/fr/services","200","http://localhost:3000/fr/services","PASS","fr-CA:/fr/services | en-CA:/en/services","PASS","index, follow","PASS",""
"http://localhost:3000/en/services","200","none","http://localhost:3000/en/services","200","http://localhost:3000/en/services","PASS","en-CA:/en/services | fr-CA:/fr/services","PASS","index, follow","PASS",""
"http://localhost:3000/fr/offres","200","none","http://localhost:3000/fr/offres","200","http://localhost:3000/fr/offres","PASS","fr-CA:/fr/offres | en-CA:/en/offres","PASS","index, follow","PASS",""
"http://localhost:3000/en/offres","200","none","http://localhost:3000/en/offres","200","http://localhost:3000/en/offres","PASS","en-CA:/en/offres | fr-CA:/fr/offres","PASS","index, follow","PASS",""
"http://localhost:3000/fr/assessment","200","none","http://localhost:3000/fr/assessment","200","http://localhost:3000/fr/assessment","PASS","fr-CA:/fr/assessment | en-CA:/en/assessment","PASS","index, follow","PASS",""
"http://localhost:3000/en/assessment","200","none","http://localhost:3000/en/assessment","200","http://localhost:3000/en/assessment","PASS","en-CA:/en/assessment | fr-CA:/fr/assessment","PASS","index, follow","PASS",""
"http://localhost:3000/fr/ai-roadmap","200","none","http://localhost:3000/fr/ai-roadmap","200","http://localhost:3000/fr/ai-roadmap","PASS","fr-CA:/fr/ai-roadmap | en-CA:/en/ai-roadmap","PASS","index, follow","PASS",""
"http://localhost:3000/en/ai-roadmap","200","none","http://localhost:3000/en/ai-roadmap","200","http://localhost:3000/en/ai-roadmap","PASS","en-CA:/en/ai-roadmap | fr-CA:/fr/ai-roadmap","PASS","index, follow","PASS",""
"http://localhost:3000/fr/contact","200","none","http://localhost:3000/fr/contact","200","http://localhost:3000/fr/contact","PASS","fr-CA:/fr/contact | en-CA:/en/contact","PASS","index, follow","PASS",""
"http://localhost:3000/en/contact","200","none","http://localhost:3000/en/contact","200","http://localhost:3000/en/contact","PASS","en-CA:/en/contact | fr-CA:/fr/contact","PASS","index, follow","PASS",""
"http://localhost:3000/fr/compliance","200","none","http://localhost:3000/fr/compliance","200","http://localhost:3000/fr/compliance","PASS","fr-CA:/fr/compliance | en-CA:/en/compliance","PASS","index, follow","PASS",""
"http://localhost:3000/en/compliance","200","none","http://localhost:3000/en/compliance","200","http://localhost:3000/en/compliance","PASS","fr-CA:/fr/compliance | en-CA:/en/compliance","PASS","index, follow","PASS",""
"http://localhost:3000/fr/compliance/privacy","200","none","http://localhost:3000/fr/compliance/privacy","200","http://localhost:3000/fr/compliance/privacy","PASS","fr-CA:/fr/compliance/privacy | en-CA:/en/compliance/privacy","PASS","index, follow","PASS",""
"http://localhost:3000/en/compliance/privacy","200","none","http://localhost:3000/en/compliance/privacy","200","http://localhost:3000/en/compliance/privacy","PASS","en-CA:/en/compliance/privacy | fr-CA:/fr/compliance/privacy","PASS","index, follow","PASS",""
"http://localhost:3000/fr/compliance/cookies","200","none","http://localhost:3000/fr/compliance/cookies","200","http://localhost:3000/fr/compliance/cookies","PASS","fr-CA:/fr/compliance/cookies | en-CA:/en/compliance/cookies","PASS","index, follow","PASS",""
"http://localhost:3000/en/compliance/cookies","200","none","http://localhost:3000/en/compliance/cookies","200","http://localhost:3000/en/compliance/cookies","PASS","en-CA:/en/compliance/cookies | fr-CA:/fr/compliance/cookies","PASS","index, follow","PASS",""
"http://localhost:3000/fr/compliance/data-request","200","none","http://localhost:3000/fr/compliance/data-request","200","http://localhost:3000/fr/compliance/data-request","PASS","fr-CA:/fr/compliance/data-request | en-CA:/en/compliance/data-request","PASS","index, follow","PASS",""
"http://localhost:3000/en/compliance/data-request","200","none","http://localhost:3000/en/compliance/data-request","200","http://localhost:3000/en/compliance/data-request","PASS","en-CA:/en/compliance/data-request | fr-CA:/fr/compliance/data-request","PASS","index, follow","PASS",""
"http://localhost:3000/fr/compliance/heatmap","200","none","http://localhost:3000/fr/compliance/heatmap","200","http://localhost:3000/fr/compliance/heatmap","PASS","fr-CA:/fr/compliance/heatmap | en-CA:/en/compliance/heatmap","PASS","index, follow","PASS",""
"http://localhost:3000/en/compliance/heatmap","200","none","http://localhost:3000/en/compliance/heatmap","200","http://localhost:3000/en/compliance/heatmap","PASS","en-CA:/en/compliance/heatmap | fr-CA:/fr/compliance/heatmap","PASS","index, follow","PASS",""
"http://localhost:3000/fr/content/guides","200","none","http://localhost:3000/fr/content/guides","200","http://localhost:3000/fr/content/guides","PASS","fr-CA:/fr/content/guides | en-CA:/en/content/guides","PASS","index, follow","PASS",""
"http://localhost:3000/en/content/guides","200","none","http://localhost:3000/en/content/guides","200","http://localhost:3000/en/content/guides","PASS","en-CA:/en/content/guides | fr-CA:/fr/content/guides","PASS","index, follow","PASS",""
"http://localhost:3000/fr/content/pricing","200","none","http://localhost:3000/fr/content/pricing","200","http://localhost:3000/fr/content/pricing","PASS","fr-CA:/fr/content/pricing | en-CA:/en/content/pricing","PASS","index, follow","PASS",""
"http://localhost:3000/en/content/pricing","200","none","http://localhost:3000/en/content/pricing","200","http://localhost:3000/en/content/pricing","PASS","en-CA:/en/content/pricing | fr-CA:/fr/content/pricing","PASS","index, follow","PASS",""
"http://localhost:3000/fr/content/compliance","200","none","http://localhost:3000/fr/content/compliance","200","http://localhost:3000/fr/content/compliance","PASS","fr-CA:/fr/content/compliance | en-CA:/en/content/compliance","PASS","index, follow","PASS",""
"http://localhost:3000/en/content/compliance","200","none","http://localhost:3000/en/content/compliance","200","http://localhost:3000/en/content/compliance","PASS","en-CA:/en/content/compliance | fr-CA:/fr/content/compliance","PASS","index, follow","PASS",""
"http://localhost:3000/fr/faq","200","none","http://localhost:3000/fr/faq","200","http://localhost:3000/fr/faq","PASS","fr-CA:/fr/faq | en-CA:/en/faq","PASS","index, follow","PASS",""
"http://localhost:3000/en/faq","200","none","http://localhost:3000/en/faq","200","http://localhost:3000/en/faq","PASS","en-CA:/en/faq | fr-CA:/fr/faq","PASS","index, follow","PASS",""
"http://localhost:3000/fr/lp/loi-25-essentials","200","none","http://localhost:3000/fr/lp/loi-25-essentials","200","http://localhost:3000/fr/lp/loi-25-essentials","PASS","fr-CA:/fr/lp/loi-25-essentials | en-CA:/en/lp/loi-25-essentials","PASS","index, follow","PASS",""
"http://localhost:3000/en/lp/loi-25-essentials","200","none","http://localhost:3000/en/lp/loi-25-essentials","200","http://localhost:3000/en/lp/loi-25-essentials","PASS","en-CA:/en/lp/loi-25-essentials | fr-CA:/fr/lp/loi-25-essentials","PASS","index, follow","PASS",""
"http://localhost:3000/fr/merci","200","none","http://localhost:3000/fr/merci","200","http://localhost:3000/fr/merci","PASS","fr-CA:/fr/merci | en-CA:/en/merci","PASS","noindex, follow","PASS",""
"http://localhost:3000/en/merci","200","none","http://localhost:3000/en/merci","200","http://localhost:3000/en/merci","PASS","en-CA:/en/merci | fr-CA:/fr/merci","PASS","noindex, follow","PASS",""
"http://localhost:3000/fr/thank-you","200","none","http://localhost:3000/fr/thank-you","200","http://localhost:3000/fr/thank-you","PASS","fr-CA:/fr/thank-you | en-CA:/en/thank-you","PASS","noindex, follow","PASS",""
"http://localhost:3000/en/thank-you","200","none","http://localhost:3000/en/thank-you","200","http://localhost:3000/en/thank-you","PASS","en-CA:/en/thank-you | fr-CA:/fr/thank-you","PASS","noindex, follow","PASS",""
"http://localhost:3000/fr/commande-reussie","200","none","http://localhost:3000/fr/commande-reussie","200","http://localhost:3000/fr/commande-reussie","PASS","fr-CA:/fr/commande-reussie | en-CA:/en/commande-reussie","PASS","noindex, follow","PASS",""
"http://localhost:3000/en/commande-reussie","200","none","http://localhost:3000/en/commande-reussie","200","http://localhost:3000/en/commande-reussie","PASS","en-CA:/en/commande-reussie | fr-CA:/fr/commande-reussie","PASS","noindex, follow","PASS",""
"http://localhost:3000/fr/blog/loi-25-erreurs-courantes","200","none","http://localhost:3000/fr/blog/loi-25-erreurs-courantes","200","http://localhost:3000/fr/blog/loi-25-erreurs-courantes","PASS","fr-CA:/fr/blog/loi-25-erreurs-courantes | en-CA:/en/blog/loi-25-erreurs-courantes","PASS","index, follow","PASS",""
"http://localhost:3000/en/blog/loi-25-erreurs-courantes","200","none","http://localhost:3000/en/blog/loi-25-erreurs-courantes","200","http://localhost:3000/en/blog/loi-25-erreurs-courantes","PASS","en-CA:/en/blog/loi-25-erreurs-courantes | fr-CA:/fr/blog/loi-25-erreurs-courantes","PASS","index, follow","PASS",""
